post,destino,metodo
aerotermia-certificado-energetico.html,madrid,mencion
aerotermia-certificado-energetico.html,valencia,mencion
aerotermia-certificado-energetico.html,barcelona,mencion
caducidad-certificado-energetico.html,madrid,mencion
caducidad-certificado-energetico.html,valencia,mencion
caducidad-certificado-energetico.html,barcelona,mencion
cee-hipoteca-banco.html,madrid,mencion
cee-hipoteca-banco.html,valencia,mencion
cee-hipoteca-banco.html,barcelona,mencion
certificado-energetico-alquiler.html,madrid,mencion
certificado-energetico-alquiler.html,valencia,mencion
certificado-energetico-alquiler.html,barcelona,mencion
certificado-energetico-locales-comerciales.html,madrid,mencion
certificado-energetico-locales-comerciales.html,valencia,mencion
certificado-energetico-locales-comerciales.html,barcelona,mencion
certificado-energetico-obligatorio-2026-v2.html,madrid,mencion
certificado-energetico-obligatorio-2026-v2.html,valencia,mencion
certificado-energetico-obligatorio-2026-v2.html,barcelona,mencion
certificado-energetico-obligatorio-2026.html,madrid,mencion
certificado-energetico-obligatorio-2026.html,valencia,mencion
certificado-energetico-obligatorio-2026.html,barcelona,mencion
certificado-energetico-online.html,madrid,mencion
certificado-energetico-online.html,valencia,mencion
certificado-energetico-online.html,barcelona,mencion
certificado-energetico-vender-piso.html,madrid,mencion
certificado-energetico-vender-piso.html,asturias,mencion
certificado-energetico-vender-piso.html,valencia,mencion
certificado-energetico-venta.html,madrid,mencion
certificado-energetico-venta.html,valencia,mencion
certificado-energetico-venta.html,barcelona,mencion
como-darse-de-alta-tecnico-certificador.html,madrid,mencion
como-darse-de-alta-tecnico-certificador.html,asturias,mencion
como-darse-de-alta-tecnico-certificador.html,valencia,mencion
errores-comunes-cee.html,alicante,bloque
errores-comunes-cee.html,madrid,bloque
errores-comunes-cee.html,asturias,bloque
etiqueta-energetica-edificios.html,madrid,mencion
etiqueta-energetica-edificios.html,asturias,mencion
etiqueta-energetica-edificios.html,valencia,mencion
garaje-trasero-necesita-certificado-energetico.html,madrid,mencion
garaje-trasero-necesita-certificado-energetico.html,valencia,mencion
garaje-trasero-necesita-certificado-energetico.html,barcelona,mencion
guia-ce3x-avanzada.html,madrid,mencion
guia-ce3x-avanzada.html,asturias,mencion
guia-ce3x-avanzada.html,valencia,mencion
guia-ce3x-tecnicos.html,alicante,mencion
guia-ce3x-tecnicos.html,madrid,mencion
guia-ce3x-tecnicos.html,valencia,mencion
guia-subvenciones-rehabilitacion-energetica-2026.html,madrid,mencion
guia-subvenciones-rehabilitacion-energetica-2026.html,asturias,mencion
guia-subvenciones-rehabilitacion-energetica-2026.html,valencia,mencion
hulc-cype-vs-ce3x.html,madrid,mencion
hulc-cype-vs-ce3x.html,valencia,mencion
hulc-cype-vs-ce3x.html,barcelona,mencion
mejorar-eficiencia-energetica-vivienda.html,madrid,mencion
mejorar-eficiencia-energetica-vivienda.html,valencia,mencion
mejorar-eficiencia-energetica-vivienda.html,barcelona,mencion
normativa-cee-2026.html,madrid,mencion
normativa-cee-2026.html,alicante,bloque
normativa-cee-2026.html,asturias,bloque
normativa-certificacion-energetica-espana.html,madrid,mencion
normativa-certificacion-energetica-espana.html,valencia,mencion
normativa-certificacion-energetica-espana.html,barcelona,mencion
obligacion-reformar-viviendas-guia-2026-2030.html,madrid,mencion
obligacion-reformar-viviendas-guia-2026-2030.html,asturias,mencion
obligacion-reformar-viviendas-guia-2026-2030.html,valencia,mencion
placas-solares-certificado-energetico.html,madrid,mencion
placas-solares-certificado-energetico.html,valencia,mencion
placas-solares-certificado-energetico.html,barcelona,mencion
plan-social-clima-9099-millones-ayudas.html,madrid,mencion
plan-social-clima-9099-millones-ayudas.html,valencia,mencion
plan-social-clima-9099-millones-ayudas.html,barcelona,mencion
plantilla-informe-energetico.html,alicante,bloque
plantilla-informe-energetico.html,madrid,bloque
plantilla-informe-energetico.html,asturias,bloque
precio-certificado-energetico-2026.html,alicante,mencion
precio-certificado-energetico-2026.html,madrid,mencion
precio-certificado-energetico-2026.html,asturias,mencion
precios-certificado-energetico-provincias-2026.html,alicante,mencion
precios-certificado-energetico-provincias-2026.html,madrid,mencion
precios-certificado-energetico-provincias-2026.html,asturias,mencion
que-es-certificado-energetico.html,madrid,mencion
que-es-certificado-energetico.html,valencia,mencion
que-es-certificado-energetico.html,barcelona,mencion
rd-659-2025-fp-superior-certificado-energetico.html,madrid,mencion
rd-659-2025-fp-superior-certificado-energetico.html,valencia,mencion
rd-659-2025-fp-superior-certificado-energetico.html,barcelona,mencion
reforma-certificado-energetico-2026-cambios.html,alicante,mencion
reforma-certificado-energetico-2026-cambios.html,madrid,mencion
reforma-certificado-energetico-2026-cambios.html,asturias,mencion
registro-cee-comunidades-autonomas.html,madrid,mencion
registro-cee-comunidades-autonomas.html,asturias,mencion
registro-cee-comunidades-autonomas.html,valencia,mencion
registro-centralizado-tecnicos-certificadores.html,madrid,mencion
registro-centralizado-tecnicos-certificadores.html,valencia,mencion
registro-centralizado-tecnicos-certificadores.html,barcelona,mencion
rehabilitacion-energetica-edificios.html,madrid,mencion
rehabilitacion-energetica-edificios.html,valencia,mencion
rehabilitacion-energetica-edificios.html,barcelona,mencion
sanciones-certificado-energetico-2026.html,madrid,mencion
sanciones-certificado-energetico-2026.html,valencia,mencion
sanciones-certificado-energetico-2026.html,barcelona,mencion
se-acaba-dinero-europeo-guia-comunidades-vecinos.html,madrid,mencion
se-acaba-dinero-europeo-guia-comunidades-vecinos.html,valencia,mencion
se-acaba-dinero-europeo-guia-comunidades-vecinos.html,barcelona,mencion
vivienda-estandar-espana-medidas-precio-cee.html,alicante,mencion
vivienda-estandar-espana-medidas-precio-cee.html,madrid,mencion
vivienda-estandar-espana-medidas-precio-cee.html,valencia,mencion
